observation,Count
"('opener', 'X')",1
"('opener', 'NUM')",1
"('opener', 'NOUN')",5
"('opener', 'CONJ')",1
"('opener', 'VERB')",1
"('opener', 'ADJ')",1
"('opener', 'ADP')",1
"('opener', 'PRON')",1
"('opener', 'DET')",1
"('opener', 'PRT')",1
"('opener', 'ADV')",1
"('opener', '.')",1
"('monotony', 'X')",1
"('monotony', 'NUM')",1
"('monotony', 'NOUN')",2
"('monotony', 'CONJ')",1
"('monotony', 'VERB')",1
"('monotony', 'ADJ')",1
"('monotony', 'ADP')",1
"('monotony', 'PRON')",1
"('monotony', 'DET')",1
"('monotony', 'PRT')",1
"('monotony', 'ADV')",1
"('monotony', '.')",1
"('pleasing', 'X')",1
"('pleasing', 'NUM')",1
"('pleasing', 'NOUN')",1
"('pleasing', 'CONJ')",1
"('pleasing', 'VERB')",1
"('pleasing', 'ADJ')",3
"('pleasing', 'ADP')",1
"('pleasing', 'PRON')",1
"('pleasing', 'DET')",1
"('pleasing', 'PRT')",1
"('pleasing', 'ADV')",1
"('pleasing', '.')",1
"('espoused', 'X')",1
"('espoused', 'NUM')",1
"('espoused', 'NOUN')",1
"('espoused', 'CONJ')",1
"('espoused', 'VERB')",2
"('espoused', 'ADJ')",1
"('espoused', 'ADP')",1
"('espoused', 'PRON')",1
"('espoused', 'DET')",1
"('espoused', 'PRT')",1
"('espoused', 'ADV')",1
"('espoused', '.')",1
"('swings', 'X')",1
"('swings', 'NUM')",1
"('swings', 'NOUN')",2
"('swings', 'CONJ')",1
"('swings', 'VERB')",1
"('swings', 'ADJ')",1
"('swings', 'ADP')",1
"('swings', 'PRON')",1
"('swings', 'DET')",1
"('swings', 'PRT')",1
"('swings', 'ADV')",1
"('swings', '.')",1
"('landscape', 'X')",1
"('landscape', 'NUM')",1
"('landscape', 'NOUN')",3
"('landscape', 'CONJ')",1
"('landscape', 'VERB')",1
"('landscape', 'ADJ')",1
"('landscape', 'ADP')",1
"('landscape', 'PRON')",1
"('landscape', 'DET')",1
"('landscape', 'PRT')",1
"('landscape', 'ADV')",1
"('landscape', '.')",1
"('mendacious', 'X')",1
"('mendacious', 'NUM')",1
"('mendacious', 'NOUN')",1
"('mendacious', 'CONJ')",1
"('mendacious', 'VERB')",1
"('mendacious', 'ADJ')",2
"('mendacious', 'ADP')",1
"('mendacious', 'PRON')",1
"('mendacious', 'DET')",1
"('mendacious', 'PRT')",1
"('mendacious', 'ADV')",1
"('mendacious', '.')",1
"('Standard', 'X')",1
"('Standard', 'NUM')",1
"('Standard', 'NOUN')",1
"('Standard', 'CONJ')",1
"('Standard', 'VERB')",1
"('Standard', 'ADJ')",7
"('Standard', 'ADP')",1
"('Standard', 'PRON')",1
"('Standard', 'DET')",1
"('Standard', 'PRT')",1
"('Standard', 'ADV')",1
"('Standard', '.')",1
"('sixty', 'X')",1
"('sixty', 'NUM')",2
"('sixty', 'NOUN')",1
"('sixty', 'CONJ')",1
"('sixty', 'VERB')",1
"('sixty', 'ADJ')",1
"('sixty', 'ADP')",1
"('sixty', 'PRON')",1
"('sixty', 'DET')",1
"('sixty', 'PRT')",1
"('sixty', 'ADV')",1
"('sixty', '.')",1
"('hamlet', 'X')",1
"('hamlet', 'NUM')",1
"('hamlet', 'NOUN')",2
"('hamlet', 'CONJ')",1
"('hamlet', 'VERB')",1
"('hamlet', 'ADJ')",1
"('hamlet', 'ADP')",1
"('hamlet', 'PRON')",1
"('hamlet', 'DET')",1
"('hamlet', 'PRT')",1
"('hamlet', 'ADV')",1
"('hamlet', '.')",1
"('Stars', 'X')",1
"('Stars', 'NUM')",1
"('Stars', 'NOUN')",5
"('Stars', 'CONJ')",1
"('Stars', 'VERB')",1
"('Stars', 'ADJ')",1
"('Stars', 'ADP')",1
"('Stars', 'PRON')",1
"('Stars', 'DET')",1
"('Stars', 'PRT')",1
"('Stars', 'ADV')",1
"('Stars', '.')",1
"('Arab', 'X')",1
"('Arab', 'NUM')",1
"('Arab', 'NOUN')",3
"('Arab', 'CONJ')",1
"('Arab', 'VERB')",1
"('Arab', 'ADJ')",1
"('Arab', 'ADP')",1
"('Arab', 'PRON')",1
"('Arab', 'DET')",1
"('Arab', 'PRT')",1
"('Arab', 'ADV')",1
"('Arab', '.')",1
"('ads', 'X')",1
"('ads', 'NUM')",1
"('ads', 'NOUN')",3
"('ads', 'CONJ')",1
"('ads', 'VERB')",1
"('ads', 'ADJ')",1
"('ads', 'ADP')",1
"('ads', 'PRON')",1
"('ads', 'DET')",1
"('ads', 'PRT')",1
"('ads', 'ADV')",1
"('ads', '.')",1
"(""Soviet's"", 'X')",1
"(""Soviet's"", 'NUM')",1
"(""Soviet's"", 'NOUN')",2
"(""Soviet's"", 'CONJ')",1
"(""Soviet's"", 'VERB')",1
"(""Soviet's"", 'ADJ')",1
"(""Soviet's"", 'ADP')",1
"(""Soviet's"", 'PRON')",1
"(""Soviet's"", 'DET')",1
"(""Soviet's"", 'PRT')",1
"(""Soviet's"", 'ADV')",1
"(""Soviet's"", '.')",1
"(""Cambodia's"", 'X')",1
"(""Cambodia's"", 'NUM')",1
"(""Cambodia's"", 'NOUN')",2
"(""Cambodia's"", 'CONJ')",1
"(""Cambodia's"", 'VERB')",1
